Subject,Train/Test,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
sub-17,Test,Test,Test,Test,Test,Test
sub-18,Train,Train,Validation,Train,Train,Train
sub-19,Train,Train,Train,Validation,Train,Train
sub-20,Train,Train,Validation,Train,Train,Train
sub-21,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
sub-22,Train,Train,Train,Train,Validation,Train
sub-23,Train,Train,Train,Train,Train,Validation
sub-24,Test,Test,Test,Test,Test,Test
sub-25,Train,Validation,Train,Train,Train,Train
sub-26,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
sub-27,Train,Train,Train,Train,Train,Validation
sub-28,Train,Train,Train,Train,Validation,Train
sub-29,Train,Validation,Train,Train,Train,Train
sub-30,Train,Train,Train,Train,Train,Validation
sub-31,Test,Test,Test,Test,Test,Test
sub-32,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
sub-33,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
sub-34,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
sub-35,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
sub-36,Train,Validation,Train,Train,Train,Train
sub-37,Test,Test,Test,Test,Test,Test
sub-38,Train,Train,Train,Train,Validation,Train
sub-39,Train,Train,Validation,Train,Train,Train
sub-40,Train,Train,Train,Validation,Train,Train
sub-41,Train,Train,Train,Validation,Train,Train
