file_name	folder
sub-balgrist01_T2w.nii.gz	train
sub-barcelona02_T2w.nii.gz	train
sub-barcelona06_T2w.nii.gz	train
sub-cardiff02_T2w.nii.gz	train
sub-cardiff04_T2w.nii.gz	train
sub-cmrra02_T2w.nii.gz	train
"sub-cmrra04_T2w.nii.gz
"	train
sub-geneva01_T2w.nii.gz	train
sub-mgh01_T2w.nii.gz	train
sub-mgh02_T2w.nii.gz	train
sub-stanford02_T2w.nii.gz	train
sub-stanford05_T2w.nii.gz	train
sub-ucdavis03_T2w.nii.gz	train
sub-brnoUhb03_T2w.nii.gz	test
sub-amu02_T2w.nii.gz	test
sub-barcelona01_T2w.nii.gz	test
sub-002_ses-headNormal_T2w.nii.gz	train
sub-003_ses-headNormal_T2w.nii.gz	train
sub-003_ses-headUp_T2w.nii.gz	train
sub-007_ses-headUp_T2w.nii.gz	train
sub-010_ses-headNormal_T2w.nii.gz	train
sub-011_ses-headNormal_T2w.nii.gz	train
sub-011_ses-headUp_T2w.nii.gz	train
sub-007_ses-headNormal_T2w.nii.gz	test
sub-010_ses-headUp_T2w.nii.gz	test
